,author,published_at,updated_at,like_count,text
32,LexaPr0,2023-02-26T12:14:46Z,2023-02-26T12:14:46Z,2,"The disaster of an infotainment system is a dealbreaker. You interact with it just too much for phones to be disconnecting, mileage to be that far off, OTA updates that don’t end up being OTA. <br><br>It’s clear VW is still over their head in this department, which is nuts considering how long they’ve been doing this."
33,pepeshopping,2023-02-26T07:18:17Z,2023-02-26T07:18:17Z,1,What a cheap cheap cheap interior.
34,Kevin Melnuk,2023-02-26T02:34:25Z,2023-02-26T02:34:25Z,0,Tech is all that matters and ID.4 falls so short. It’s why iPhone dominates and so does Tesla! Buy the right one like millions do. Tesla all the way.
35,Pedro Brandao,2023-02-25T15:48:01Z,2023-02-25T15:48:01Z,6,"I have a ID.4 2021 Pro S driving experience is amazing, quiet ride, no issues at all. Car is fantastic for everyday drive. Did 2 road-trips from Boca Raton, FL to Charlotte with no issues. It’s my first EV car moving from gas cars."
36,Dave Scott,2023-02-25T12:51:31Z,2023-02-25T12:51:31Z,1,"No knobs no deal.   Other than that, pretty nice vehicle."
37,Sk2sk1,2023-02-25T06:48:15Z,2023-02-25T06:48:15Z,1,The newer id sw versions in Europe became much better.. does only make limited sense to review the old „newspaper“
38,SummerBRZ,2023-02-24T19:03:39Z,2023-02-24T19:03:39Z,0,"in all honesty, the car looks as exciting (to own) as a 2.0L (115hp) Mk3 Golf GTI...meaning not very exciting at all"
39,name,2023-02-24T07:24:38Z,2023-02-24T07:24:38Z,40,"Have a 2023 ID.4 and absolutely love it. Has had zero issues, not even with software, drives great, has good range, charges great, roomy, and the newer software is much better."
40,beach timesb,2023-02-24T06:56:24Z,2023-02-24T06:56:24Z,1,"Last I heard, 41k is A LOT OF MONEY! 🤔🤔🤔"
41,Jo66hn,2023-02-24T04:29:48Z,2023-02-24T04:29:48Z,26,"We&#39;ve just bought a 2023 ID.4 Pro and have driven it for about a month. The driving experience has been excellent. Smooth acceleration, nice handling and super quiet in the cabin. Build quality is excellent with no panel gaps or poor interior fit out. Apple Carplay and Android Auto have worked flawlessly. <br>That being said the UI isn&#39;t great. It has worked fine but it&#39;s just not very intuitive. If VW can come up with a UI that makes a little more sense then they have quite a car on their hands. All up we really love our ID.4."
42,Dennis Ragolia,2023-02-24T02:53:20Z,2023-02-24T02:53:20Z,0,This isn’t AWD? Criminal
43,Abinks90,2023-02-24T02:11:28Z,2023-02-24T02:11:28Z,1,"How do we get the message across to VW, that we WANT physical buttons, not this."
44,Anthony Xuereb,2023-02-24T01:55:29Z,2023-02-24T01:55:29Z,2,Did the wet interior upset the electrics and is it better to simply plug in your phone for more reliable connectivity? In my car if I hold the button down long enough it closes<br>all the windows.
45,roguedogx,2023-02-24T00:18:27Z,2023-02-24T00:18:27Z,0,"<a href=""https://www.youtube.com/watch?v=UvCtq0u3wrU&amp;t=3m46s"">3:46</a> a.k.a. the stuff VW use to be known for."
46,Open Format Videos,2023-02-23T23:55:17Z,2023-02-23T23:55:17Z,5,It’s very unfortunate that VW is so so bad at designing on the tech front. The window thing is annoying BUT there is a hack and you press and hold the rear window button and you can actually press one button to roll down all 4 windows. The audio issue isn’t a new thing either. Our old VW Tiguan would do that as well! We would have to play the radio to get audio to start and then open apple CarPlay and it would work after that. Not a new bug for them unfortunately
47,Admirald Haitian Pepe le pew,2023-02-23T23:08:52Z,2023-02-23T23:08:52Z,0,Do yall think about people that live in apartments 🤔 too
48,Beacher2,2023-02-23T22:37:46Z,2023-02-23T22:37:46Z,0,"Every ID4 owner has been waiting for that hallowed day when software that actually works, drops."
49,Robert B,2023-02-23T22:13:08Z,2023-02-23T22:13:08Z,3,I wouldn&#39;t hold my breath on that software update. I&#39;ve been waiting 20 months.
50,Mercedes BenzFW,2023-02-23T21:18:18Z,2023-02-23T21:18:18Z,1,Do the Carplay and Android Auto issues persist if you use the wired connection to connect or is it all through the wireless connection?
51,Mr. Nemo,2023-02-23T20:21:16Z,2023-02-23T20:21:16Z,1,Looks like VW didn&#39;t care about automotive reviewers&#39; and consumers&#39; feedback. They put the same crappy infotainment in the new Atlas and Crossport regardless even after saying they would change it for future models based on the ID4 backlash
52,Philly Dee,2023-02-23T20:11:20Z,2023-02-23T20:11:20Z,1,🤔Two switches for four windows.....maybe they were trying to save weight
53,warding12345,2023-02-23T20:04:48Z,2023-02-23T20:04:48Z,3,Android auto issues are most likely a google side issue if youve had it work before. Google pushes random updates that breaks things more than it fixes
54,Aussie2u,2023-02-23T19:50:53Z,2023-02-23T19:50:53Z,0,The ID4 is engineered terribly.  Watch MunroLive if you want to take a deep dive into all the shortcomings VW chose to take on this vehicle.
55,Mike.Macmyazka,2023-02-23T19:45:57Z,2023-02-23T19:45:57Z,0,In regards to the auto down feature with the windows…my 2016 Fusion SE with tech package has that and I did the same thing when I bought the car. Didn’t know it was enabled and must have had the key in my pocket while I napped. Woke up and wasn’t aware until the guy from my town’s city hall messaged me and told me. It was snowing that day.  Learned how to turn that off immediately and it’s been off since then. Probably handy down south when it is super hot but not in MN.
56,thewireman134,2023-02-23T19:43:35Z,2023-02-23T19:43:35Z,1,Everything about the inside looks like a poor man&#39;s Chevy Bolt.
57,Budget Gamerz,2023-02-23T19:22:01Z,2023-02-23T19:22:01Z,11,The window going down when holding the unlock button is not only a volkswagaon feature.
58,AirAmerica,2023-02-23T19:14:16Z,2023-02-23T19:14:16Z,2,Great review but VW reliability is questionable at best. Sticking with my Lexus ES. Not one problem ever
59,Scott Vickery,2023-02-23T18:10:44Z,2023-02-23T18:10:44Z,3,"A nice, but expensive, 2nd car"
60,M1911jln,2023-02-23T17:54:43Z,2023-02-23T17:54:43Z,11,VW used to have excellent interiors and switchgear.  VW completely ruined the switchgear on the ID4 and the GTI.  I simply won&#39;t consider these cars as a result.
